"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'copilot""","""'dynamic/copilot-swe-agent/copilot""",11.43,705975,2916,"""'hosted""","""'ubuntu-latest""",35
"""'build (3.9)""","""'.github/workflows/python-package.yml""",100.00,211717,48643,"""'hosted""","""'ubuntu-latest""",110
"""'Codacy Security Scan""","""'.github/workflows/codacy.yml""",2.02,139716,27764,"""'hosted""","""'ubuntu-latest""",99
"""'build-and-deploy""","""'.github/workflows/azure-functions-app-python.yml""",100.00,131466,49742,"""'hosted""","""'ubuntu-latest""",50
"""'🔐 CodeQL Python Analysis""","""'.github/workflows/codeql.yml""",30.00,87573,7846,"""'hosted""","""'ubuntu-latest""",20
"""'🔐 CodeQL Analysis (python, ubuntu-latest)""","""'.github/workflows/codeql.yml""",100.00,86522,31621,"""'hosted""","""'ubuntu-latest""",31
"""'🔍 CodeQL Analysis (python)""","""'.github/workflows/codeql.yml""",100.00,64672,5296,"""'hosted""","""'ubuntu-latest""",15
"""'Analyze (python)""","""'dynamic/github-code-scanning/codeql""",0.89,52775,34646,"""'hosted""","""'ubuntu-latest""",112
"""'Analyze (actions)""","""'dynamic/github-code-scanning/codeql""",0.00,48377,33644,"""'hosted""","""'ubuntu-latest""",112
"""'🔐 CodeQL Analysis (go, ubuntu-latest, autobuild)""","""'.github/workflows/codeql.yml""",100.00,47121,34587,"""'hosted""","""'ubuntu-latest""",31
"""'Code Quality Checks (3.9)""","""'.github/workflows/code-quality.yml""",0.00,43874,16813,"""'hosted""","""'ubuntu-latest""",34
"""'🔐 CodeQL Analysis (cpp, ubuntu-latest, autobuild)""","""'.github/workflows/codeql.yml""",100.00,40356,6177,"""'hosted""","""'ubuntu-latest""",2
"""'🔐 CodeQL Analysis (ruby, ubuntu-latest, none)""","""'.github/workflows/codeql.yml""",100.00,36961,33235,"""'hosted""","""'ubuntu-latest""",31
"""'Run Tests (3.8)""","""'.github/workflows/code-quality.yml""",27.27,36543,18856,"""'hosted""","""'ubuntu-latest""",33
"""'greeting""","""'.github/workflows/greetings.yml""",0.00,36471,6984,"""'hosted""","""'ubuntu-latest""",97
"""'🧪 Test Suite (windows-latest, 3.10)""","""'.github/workflows/ci-cd.yml""",0.00,36167,4403,"""'hosted""","""'windows-latest""",45
"""'🧪 Test Suite (windows-latest, 3.11)""","""'.github/workflows/ci-cd.yml""",0.00,36119,4409,"""'hosted""","""'windows-latest""",45
"""'🔐 CodeQL Analysis (java, ubuntu-latest, autobuild)""","""'.github/workflows/codeql.yml""",100.00,35340,29675,"""'hosted""","""'ubuntu-latest""",31
"""'🔐 CodeQL Analysis (cpp, ubuntu-latest, manual)""","""'.github/workflows/codeql.yml""",100.00,35303,38572,"""'hosted""","""'ubuntu-latest""",22
"""'🧪 Test Suite (windows-latest, 3.12)""","""'.github/workflows/ci-cd.yml""",0.00,34931,4619,"""'hosted""","""'windows-latest""",45
"""'🧪 Test Suite (macos-latest, 3.10)""","""'.github/workflows/ci-cd.yml""",0.00,34315,6356,"""'hosted""","""'macos-latest""",45
"""'🔐 CodeQL Analysis (csharp, ubuntu-latest, autobuild)""","""'.github/workflows/codeql.yml""",100.00,33980,34290,"""'hosted""","""'ubuntu-latest""",31
"""'Dependabot""","""'dynamic/dependabot/dependabot-updates""",60.00,33802,3993,"""'hosted""","""'ubuntu-latest""",10
"""'Code Quality Checks (3.8)""","""'.github/workflows/code-quality.yml""",6.06,32869,17623,"""'hosted""","""'ubuntu-latest""",33
"""'🛡️ Security Analysis""","""'.github/workflows/ci-cd.yml""",4.44,31039,2977,"""'hosted""","""'ubuntu-latest""",45
"""'Pre-commit Hooks""","""'.github/workflows/code-quality.yml""",91.67,29635,21424,"""'hosted""","""'ubuntu-latest""",36
"""'Run Tests (3.11)""","""'.github/workflows/code-quality.yml""",66.67,29625,20132,"""'hosted""","""'ubuntu-latest""",36
"""'Code Quality Checks (3.10)""","""'.github/workflows/code-quality.yml""",31.43,29079,16991,"""'hosted""","""'ubuntu-latest""",35
